pid,name,cpu
1621,/System/Library/,0.0
1662,/System/Library/,0.0
1663,/System/Library/,0.0
1664,/System/Library/,0.0
1665,/System/Library/,0.0
1666,/System/Library/,0.0
1667,/System/Library/,0.0
1668,/System/Library/,0.0
1677,/usr/sbin/distno,0.0
1688,/System/Library/,0.0
1715,/System/Library/,0.0
1721,/System/Library/,0.0
1771,/System/Library/,0.0
1798,/System/Applicat,0.0
1940,/System/Library/,0.0
2417,/System/Library/,0.0
2824,/usr/sbin/distno,0.0
2936,/System/Library/,0.0
3464,/System/Library/,0.0
3608,/System/Library/,0.0
3622,/System/Library/,0.0
3701,/System/Library/,0.0
3770,/Applications/Go,0.0
3784,/Applications/Go,0.0
3839,/Applications/Go,0.0
3877,/System/Library/,0.0
3902,/System/Library/,0.0
4320,/Applications/Vi,0.0
4334,/Applications/Vi,0.0
4335,/Applications/Vi,0.1
4336,/Applications/Vi,0.0
4343,/Applications/Vi,0.0
4356,/Applications/Vi,0.0
6796,/Applications/Ob,0.0
6798,/Applications/Ob,0.0
6799,/Applications/Ob,0.0
6808,/System/Library/,0.0
7941,/System/Library/,0.0
8078,/System/Library/,0.0
8339,/System/Library/,0.0
13039,/System/Library/,0.0
21574,/System/Library/,0.0
22066,/Applications/Go,0.0
23087,/System/Library/,0.0
23129,/System/Library/,0.0
23132,/System/Library/,0.0
23156,/System/Library/,0.0
23201,/usr/libexec/sea,0.0
23242,/System/Library/,0.0
23405,/System/Library/,0.0
24109,/usr/libexec/tip,0.0
24481,/Applications/Go,0.0
24808,/usr/libexec/wif,0.0
25734,/Applications/Vi,0.0
29687,/usr/sbin/netbio,0.0
29953,/System/Library/,0.0
45105,/Applications/Vi,0.0
45106,/Applications/Vi,0.0
45114,/Applications/Vi,0.0
45128,/Applications/Vi,0.0
45333,/Users/ajinkyadh,0.0
45334,/Users/ajinkyadh,0.0
51377,/Applications/Vi,0.0
54953,/usr/libexec/Per,0.0
57132,/System/Library/,0.0
58037,/usr/libexec/Pow,0.0
58099,/usr/libexec/cor,0.0
58237,/System/Library/,0.0
58238,/System/Library/,0.0
58479,/usr/sbin/BTLESe,0.0
58782,/System/Library/,0.0
58983,/usr/libexec/pro,0.0
58984,/System/Library/,0.0
59008,/usr/libexec/ane,0.0
59012,/usr/libexec/mob,0.0
59017,/System/Library/,0.0
59019,/usr/libexec/use,0.0
59020,/System/Library/,0.0
60203,/System/Library/,0.0
60280,/usr/libexec/fil,0.0
63398,/System/Library/,0.0
63399,/usr/libexec/lin,0.0
63401,/usr/libexec/onl,0.0
63404,/usr/libexec/wif,0.0
63407,/usr/libexec/sys,0.0
63408,/System/Library/,0.0
63409,/System/Library/,0.0
63415,/System/Library/,0.0
63417,/System/Library/,0.0
63418,/usr/libexec/sec,0.0
63427,/System/Library/,0.0
63428,/System/Library/,0.0
63429,/usr/libexec/sto,0.0
63430,/System/Library/,0.0
63433,/usr/libexec/pkd,0.0
63441,/System/Library/,0.0
63451,/System/Library/,0.0
63460,/System/Library/,0.0
63461,/System/Library/,0.0
63462,/usr/libexec/swc,0.0
63463,/usr/libexec/neh,0.0
63464,/usr/libexec/nea,0.0
63467,/System/Library/,0.0
63470,/System/Library/,0.0
63473,/System/Library/,0.0
63485,/System/Library/,0.0
63486,/System/Library/,0.0
63490,/System/Library/,0.0
63491,/System/Library/,0.0
63492,/System/Library/,0.0
63529,/System/Library/,0.0
63536,/usr/libexec/pow,0.0
63537,/usr/libexec/sep,0.0
